accuracy,dataset,f1,model,precision,recall,roc_auc,seed
0.9819537073362102,fd001,0.727810650887574,fan,0.7151162790697675,0.7409638554216867,0.9848649464036193,42
0.9844056492742251,fd001,0.7496062992125985,fan,0.7854785478547854,0.7168674698795181,0.9800680825491749,43
0.9824440957238133,fd001,0.7089430894308943,fan,0.7703180212014135,0.6566265060240963,0.9883820562053566,44
0.9808748528834837,fd001,0.6355140186915887,cbm,0.8374384236453202,0.5120481927710844,0.94977263066866,42
0.9833267948214987,fd001,0.7408536585365854,cbm,0.75,0.7319277108433735,0.9838171115117404,43
0.9799921537857984,fd001,0.6395759717314488,cbm,0.7735042735042735,0.5451807228915663,0.9752701499428371,44
0.9843075715967046,fd001,0.7590361445783133,transformer,0.7590361445783133,0.7590361445783133,0.9924381223189596,42
0.9873479795998431,fd001,0.8138528138528138,transformer,0.7811634349030471,0.8493975903614458,0.9956972048779058,43
0.9796979207532366,fd001,0.7088607594936709,transformer,0.6649076517150396,0.7590361445783133,0.9868815285472792,44
0.9840133385641427,fd001,0.7424960505529226,cnn,0.7807308970099668,0.7078313253012049,0.9837158854395684,42
0.9841114162416634,fd001,0.7272727272727273,cnn,0.8244274809160306,0.6506024096385542,0.9831845630697974,43
0.9796979207532366,fd001,0.649746192893401,cnn,0.7413127413127413,0.5783132530120482,0.9843397311875237,44
