position,model_id,checkpoint,checkpoint_sha256,episodes,ig_n_steps_used,parameter_sha256,run_id
1,run_01_init_11_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_01_init_11_order_1001/checkpoint_best.pt,ba1ae458b881ab68c3e4f9a57c8a90ca35301a0afcff6108dd21fbd99a0f7539,600,64,fcc9ab5ea111e18cabfea5cb30c56dc2d75f39c01d5ae018a463fc81ef87209a,run_01_init_11_order_1001
2,run_02_init_11_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_02_init_11_order_2003/checkpoint_best.pt,e04784eb7376caa546a29b6c18b11d519e120a203eb89be016d100af22dc771e,600,64,896a420b5a97593f5eb24afac5753c16dde22af249d2b7b68b2f8e4230f7221a,run_02_init_11_order_2003
3,run_03_init_11_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_03_init_11_order_3007/checkpoint_best.pt,e9d22353198799653214e69ce4207afaf0a10cb4cad7050f42dff3ddc1d89bc5,600,64,3bb64159f74ec0905a191defa0ca7644fa76a5f75f8d707dc47996f2e26958ae,run_03_init_11_order_3007
4,run_04_init_23_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_04_init_23_order_1001/checkpoint_best.pt,e28639a737b34c9d27743448371347cd4a9808b32ef7f64c134e365673b3baf0,600,64,4bb6b43cde8a473e35a58ba17c2bbde9e9b49347c6c96734ccb18600ac27bebe,run_04_init_23_order_1001
5,run_05_init_23_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_05_init_23_order_2003/checkpoint_best.pt,2d66c28bcc22186fae2b76744e60e580e0101823beb86f8f9b7c8e2d75dc8c64,600,64,e9013f1e5476fea8004a15d7d531df57ab89796b1f2825cb9a135e990eef7c4b,run_05_init_23_order_2003
6,run_06_init_23_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_06_init_23_order_3007/checkpoint_best.pt,2dd22e2924162146060c4bcb77a7fac465a0709488e5c01ef6287b858baecc91,600,64,e68ba225ed25f7829c3e8c7b4c026b13cf4c973a56b6c35718b9a2644e4946cf,run_06_init_23_order_3007
7,run_07_init_37_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_07_init_37_order_1001/checkpoint_best.pt,0549d32067bdea701ce50a7827064802cccf3fddd4ab49a8ebc5cfe9a87667da,600,64,60c2e4d9bfc7e814237be74cfbc3351724a6359bb572fa186af4e827f215e3cf,run_07_init_37_order_1001
8,run_08_init_37_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_08_init_37_order_2003/checkpoint_best.pt,500ab7e7b261a77c0a9f8fc70c2ceb2fab797e9105ba13174af861216583f7d8,600,64,0be8498e2525ac33bf5e095ef4ae002a2e751f44edcd286425a1e06525e30513,run_08_init_37_order_2003
9,run_09_init_37_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_09_init_37_order_3007/checkpoint_best.pt,9cd9add79c48c6d5f176d599f06349f3bd57bd84c8ebb868377c6f3a5538bfdc,600,64,8c724f86c11ef8bc6f1ba3384439709eb55353903a44afe9c362cc1cbc10c959,run_09_init_37_order_3007
10,run_10_init_41_order_1001,artifacts/physionet2012_last_run/runs/PlainTransformer/run_10_init_41_order_1001/checkpoint_best.pt,da24c82f913543feeaaa4124900d9e3ada888f4b87c2b4216c7584a9f4106d49,600,64,20f85e11036a490f7b7eca34daf11dfd1d78c0b17850fff3a7062cc2d3a3e9aa,run_10_init_41_order_1001
11,run_11_init_41_order_2003,artifacts/physionet2012_last_run/runs/PlainTransformer/run_11_init_41_order_2003/checkpoint_best.pt,ce5654f7c08e644729d5019869780a80da5efe9a8f3fd6ac1473c40891d03a78,600,64,b1b55a8a0ba8cbf17c7fba851c1b228d52a24dcf63281ca83a67159af4c16039,run_11_init_41_order_2003
12,run_12_init_41_order_3007,artifacts/physionet2012_last_run/runs/PlainTransformer/run_12_init_41_order_3007/checkpoint_best.pt,22e3ac108b58a04823a20aced881ac561f3f6ee44309623630a90aca4aee29bc,600,64,94c6f6b218283894d3f6cd0ee135faceb71c364a0e5846846e6ae7a7837dbb1f,run_12_init_41_order_3007
