method,feature_space,value_view,metric,model_pairs,mean,std,median,iqr,ci95_low,ci95_high,minimum,maximum
ConceptFAN,proxy_concept_v_only,absolute,spearman,435,0.048542528735632175,0.4164781334350405,0.0033333333333333305,0.5614166666666666,-0.651875,0.9797166666666662,-0.8934999999999998,0.9999999999999998
ConceptFAN,proxy_concept_v_only,absolute,kendall,435,0.04471264367816092,0.3615936407279368,-0.00033333333333333213,0.43716666666666665,-0.55995,0.9608499999999996,-0.7869999999999999,1.0
ConceptFAN,proxy_concept_v_only,absolute,top1_agreement,435,0.2666896551724138,0.3183417366979541,0.15833333333333333,0.42000000000000004,0.0,1.0,0.0,1.0
ConceptFAN,proxy_concept_v_only,absolute,top3_jaccard,435,0.48142720306513415,0.17175111620386732,0.4681666666666666,0.18466666666666665,0.2,0.9741666666666666,0.2,1.0
ConceptFAN,proxy_concept_v_only,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
ConceptFAN,proxy_concept_v_only,absolute,cosine_similarity,435,0.596375235464592,0.20170250313289173,0.585491837245712,0.2989828112097873,0.2704568123544723,0.9964914985926725,0.1949272348540386,0.9999953693011194
ConceptFAN,proxy_concept_v_only,signed,spearman,435,0.0034685823754789283,0.4699386788868142,0.00133333333333333,0.49949999999999994,-0.7999999999999998,0.9918249999999997,-0.9918333333333332,0.9999999999999998
ConceptFAN,proxy_concept_v_only,signed,kendall,435,0.0170896551724138,0.4042526331147308,0.018999999999999996,0.36749999999999994,-0.66635,0.98365,-0.9836666666666667,1.0
ConceptFAN,proxy_concept_v_only,signed,top1_agreement,435,0.2666896551724138,0.3183417366979541,0.15833333333333333,0.42000000000000004,0.0,1.0,0.0,1.0
ConceptFAN,proxy_concept_v_only,signed,top3_jaccard,435,0.48142720306513415,0.17175111620386732,0.4681666666666666,0.18466666666666665,0.2,0.9741666666666666,0.2,1.0
ConceptFAN,proxy_concept_v_only,signed,sign_agreement,435,0.5190804597701149,0.242261009527153,0.5999999999999999,0.19999999999999984,0.0,1.0,0.0,1.0
ConceptFAN,proxy_concept_v_only,signed,cosine_similarity,435,0.07429293109650249,0.42675953847872894,0.13204586711457184,0.5844770546673148,-0.6133905597491255,0.9964914985926724,-0.7462092600979597,0.9999953693011194
gradient_shap,full_input_channels,absolute,spearman,435,0.6988603656326637,0.07174309711444009,0.6838541763384867,0.04687977296480217,0.6268806450174774,0.9596938187101478,0.5981991930024626,0.9805670804152222
gradient_shap,full_input_channels,absolute,kendall,435,0.5315334433923288,0.08204196965314332,0.5138937028281916,0.040835850034383336,0.4616255590674784,0.8495153630115145,0.4401969938922728,0.896720951933242
gradient_shap,full_input_channels,absolute,top1_agreement,435,0.7965555555555556,0.052776535409960544,0.8016666666666666,0.07250000000000001,0.6980833333333334,0.9133333333333333,0.68,0.9583333333333334
gradient_shap,full_input_channels,absolute,top3_jaccard,435,0.5457429118773947,0.08014486130981086,0.535,0.08625,0.43859166666666677,0.8048500000000001,0.41050000000000003,0.8986666666666667
gradient_shap,full_input_channels,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
gradient_shap,full_input_channels,absolute,cosine_similarity,435,0.8804385072393572,0.03271349684648272,0.8787878047746179,0.031189408016695563,0.8298373714384258,0.9865563212513401,0.811483986109718,0.9936829120447987
gradient_shap,full_input_channels,signed,spearman,435,0.5059344079399972,0.12992552240624006,0.47965049739524396,0.089845503935027,0.3534012004865678,0.9522137836602903,0.30756783309082286,0.9786851843430581
gradient_shap,full_input_channels,signed,kendall,435,0.39661588390789376,0.1286548756110825,0.3682532783542418,0.07525164937623108,0.2662028542292302,0.8627196800601414,0.2282468546656149,0.9120491052512837
gradient_shap,full_input_channels,signed,top1_agreement,435,0.7658467432950191,0.05475523445712696,0.7683333333333333,0.07166666666666666,0.6616666666666666,0.9019166666666666,0.64,0.9366666666666666
gradient_shap,full_input_channels,signed,top3_jaccard,435,0.5547222222222222,0.07939669413841632,0.5421666666666667,0.09275,0.4457083333333334,0.8070583333333332,0.428,0.8998333333333333
gradient_shap,full_input_channels,signed,sign_agreement,435,0.6794563572555458,0.06926108570559389,0.6638655462184875,0.04152661064425767,0.6123473389355742,0.9346127450980392,0.6001680672268906,0.957016806722689
gradient_shap,full_input_channels,signed,cosine_similarity,435,0.781066525619954,0.0652880624265805,0.7765145792877436,0.0596120158526523,0.676257239740186,0.9818961303739745,0.6166959122838374,0.992620478808477
gradient_shap,proxy_concept_v_only,absolute,spearman,435,0.8219613026819922,0.04719002636863952,0.8269999999999998,0.05899999999999994,0.7352249999999998,0.9280249999999999,0.6746666666666665,0.9623333333333332
gradient_shap,proxy_concept_v_only,absolute,kendall,435,0.7336942528735632,0.0585218131696551,0.7386666666666666,0.07433333333333336,0.63425,0.87415,0.57,0.9309999999999998
