model_id,baseline,n_steps,mean_absolute_completeness_error,median_absolute_completeness_error,p95_absolute_completeness_error,maximum_absolute_completeness_error
run_01_init_11_order_1001,zero_standardized,64,0.0003278295571605364,0.0002753138542175293,0.0008267283439636229,0.0015636682510375977
run_01_init_11_order_1001,median_training_episode,64,0.0003354622656479478,0.00020194053649902344,0.0009798288345336911,0.0017249584197998047
run_02_init_11_order_2003,zero_standardized,64,0.0002556532497207324,0.00023096799850463867,0.0005942493677139281,0.0011486411094665527
run_02_init_11_order_2003,median_training_episode,64,0.00026186086237430574,0.0002410411834716797,0.0005552887916564942,0.0010313987731933594
run_03_init_11_order_3007,zero_standardized,64,0.00015974167734384537,0.0001532137393951416,0.00034716129302978513,0.00048804283142089844
run_03_init_11_order_3007,median_training_episode,64,0.0001605240007241567,0.0001481771469116211,0.00036342144012451165,0.0005092620849609375
run_04_init_23_order_1001,zero_standardized,64,0.00022963784635066987,0.00020045042037963867,0.0005213737487792965,0.000787585973739624
run_04_init_23_order_1001,median_training_episode,64,0.00021941098695000012,0.00018095970153808594,0.0005340874195098877,0.0008704662322998047
run_05_init_23_order_2003,zero_standardized,64,0.00019686450560887653,0.000173911452293396,0.0004713058471679686,0.0007390975952148438
run_05_init_23_order_2003,median_training_episode,64,0.00020127896840373675,0.00017255544662475586,0.00046572983264923094,0.0007293224334716797
run_06_init_23_order_3007,zero_standardized,64,0.0003124635542432467,0.0002777576446533203,0.0006850421428680419,0.0010800659656524658
run_06_init_23_order_3007,median_training_episode,64,0.000271231917043527,0.00022262334823608398,0.000674647092819213,0.0012054443359375
run_07_init_37_order_1001,zero_standardized,64,0.0001891065078477065,0.00016495585441589355,0.00042071342468261706,0.0006430149078369141
run_07_init_37_order_1001,median_training_episode,64,0.00016092134329179922,0.00013068318367004395,0.00040841102600097635,0.0006093978881835938
run_08_init_37_order_2003,zero_standardized,64,0.00012495782226324082,0.00010958313941955566,0.00028102137148380265,0.0004146099090576172
run_08_init_37_order_2003,median_training_episode,64,9.887386113405228e-05,8.252263069152832e-05,0.00024392604827880857,0.0004086494445800781
run_09_init_37_order_3007,zero_standardized,64,7.747902224461237e-05,6.565451622009277e-05,0.0001924604177474975,0.0002803802490234375
run_09_init_37_order_3007,median_training_episode,64,7.987064930299918e-05,7.194280624389648e-05,0.00018286705017089822,0.00029468536376953125
run_10_init_41_order_1001,zero_standardized,64,0.0007821617089211941,0.0007641315460205078,0.0012442067265510553,0.001656264066696167
run_10_init_41_order_1001,median_training_episode,64,0.00031899084647496543,0.0002818107604980469,0.0007575035095214837,0.00116729736328125
run_11_init_41_order_2003,zero_standardized,64,0.0006043238503237565,0.0006062984466552734,0.000963759422302246,0.0012543201446533203
