model_arm,state,runs,Brier_mean,Brier_std,NLL_mean,NLL_std,ECE15_mean,ECE15_std,calibration_slope_mean,calibration_intercept_mean
ConceptFAN-NoAlpha,primary_calibrated,30,0.10777872599181056,0.003142687006915784,0.35603434584223165,0.016353510267675276,0.050513340275420204,0.01178359462536743,0.6911424163173159,-0.44064427078389873
ConceptFAN-NoAlpha,raw,30,0.12510686383144556,0.012724532700123298,0.4105384148796542,0.03296238282571236,0.11952972569736245,0.03793704945724164,32.85714945597448,54.405801988716895
ConceptFAN-StabilityReg,primary_calibrated,30,0.10703038586812226,0.0030514809030014875,0.3527698998847102,0.01428938485072487,0.04919227458906774,0.010365971006186357,0.7224216493846551,-0.3869364023276696
ConceptFAN-StabilityReg,raw,30,0.11932144877894026,0.010081600975607915,0.39339355390111663,0.024246087638740473,0.1032090009604521,0.028734028222825735,19.03630313264195,30.71998051636071
PlainTransformer,primary_calibrated,30,0.09849817303046564,0.002203374507873064,0.32245594160845353,0.0059844590993082605,0.03873889800414929,0.006174494560156159,0.838376828921888,-0.21838212883780536
PlainTransformer,raw,30,0.16304792539186863,0.02373713888327295,0.4843156316902006,0.059105218055359836,0.17999269593689718,0.04498922452488938,0.6223736426185612,-1.509348167893956
PureNoFuzzy,primary_calibrated,30,0.10923278337203504,0.005542824354685197,0.36173016220573706,0.024771713468039205,0.05167368054058075,0.015419242870241746,0.705407509839413,-0.42895498235057583
PureNoFuzzy,raw,30,0.12932329022051112,0.016458983149018228,0.4211961148025173,0.04114860692538873,0.1275499405393842,0.04860461642315645,12.510563744677405,11.499979796877975
TemporalCEM,primary_calibrated,30,0.1082797381709065,0.0023341867087305593,0.3565529191237737,0.011791507490628593,0.04917481064561484,0.011889339565557119,0.7161268963643989,-0.4123421550461013
TemporalCEM,raw,30,0.12038055122973587,0.005860658817877836,0.40237174506768203,0.014484250245027459,0.11099792004564625,0.02244675114640672,10.44027431282314,14.145853381069765
