channels,control,diagnostic_model,runs,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,Brier_mean
V,delta_time_only,l2_logistic_regression,10,0.19557331000632777,5.075081336212499e-06,0.6495444058632984,2.2513849201342905e-05,0.11872581725092553
V,matched_gaussian_noise,l2_logistic_regression,10,0.150786495262613,0.015903060680697054,0.5185523525436369,0.03811963107053747,0.1192692411224878
V,missingness_only,l2_logistic_regression,10,0.25049680830629445,0.0004478656332288705,0.689865069562583,3.06812047542186e-05,0.11663594410756102
V,permuted_residual_vectors,l2_logistic_regression,10,0.1504880607429745,0.022860796305002016,0.5051641770175479,0.037389450754433576,0.12004235681403341
V,raw_value_only,l2_logistic_regression,10,0.41737129844707754,0.0,0.7961594929039174,0.0,0.10110056342965441
V,residuals,l2_logistic_regression,10,0.35719342946792515,0.03678509761789933,0.7926126168115402,0.031251698128175166,0.10540203188252864
V,residuals,mlp_sensitivity,10,0.2925105457616686,0.11172076681585609,0.7004614201486798,0.15550909706101418,0.12471796530777439
V,shuffled_labels,l2_logistic_regression,10,0.15474553325944393,0.038815944500578216,0.4898184614667568,0.09278802452541227,0.12068701568132496
V+D,delta_time_only,l2_logistic_regression,10,0.19557436064798006,4.429894167862312e-06,0.6495397450537158,1.965169869521404e-05,0.11872590752106851
V+D,matched_gaussian_noise,l2_logistic_regression,10,0.1442067407989335,0.01912139334885287,0.49096735102887373,0.035042975032913766,0.12019991298568129
V+D,missingness_only,l2_logistic_regression,10,0.2505794607826262,0.0004025197266298269,0.6898604087530005,2.947754804285802e-05,0.11663653186151897
V+D,permuted_residual_vectors,l2_logistic_regression,10,0.13876110891461133,0.014726178583033621,0.47692200135163476,0.03364048139371196,0.12045166639995634
V+D,raw_value_only,l2_logistic_regression,10,0.41737129844707754,0.0,0.7961594929039174,0.0,0.10110056465138928
V+D,residuals,l2_logistic_regression,10,0.34693769243301986,0.04504868828867836,0.7906877024539163,0.02586009688163835,0.10578875158611534
V+D,residuals,mlp_sensitivity,10,0.23912243724172416,0.12087629037604945,0.5832909976462911,0.22793533249085005,0.13669774134118434
V+D,shuffled_labels,l2_logistic_regression,10,0.14729367343571137,0.03645587903815715,0.4855934375801077,0.08193634392091496,0.12041380866191338
V+M,delta_time_only,l2_logistic_regression,10,0.19557120872302317,5.537367709827266e-06,0.6495537274824638,2.45646233690413e-05,0.11872563602251937
V+M,matched_gaussian_noise,l2_logistic_regression,10,0.14164533572457377,0.007109029115003785,0.49598471254456894,0.021804492341063863,0.11981149838123321
V+M,missingness_only,l2_logistic_regression,10,0.2504218100913354,0.0004312882016244877,0.6898837128009135,6.42448265110988e-05,0.11663412218541717
V+M,permuted_residual_vectors,l2_logistic_regression,10,0.14891440445746432,0.0136598588263864,0.5073407750926335,0.03081874211651746,0.11987146230616161
V+M,raw_value_only,l2_logistic_regression,10,0.41737129844707754,0.0,0.7961594929039174,0.0,0.10110056495310482
V+M,residuals,l2_logistic_regression,10,0.3561806854218219,0.034851704157389356,0.7785602759199273,0.03844076744769936,0.10523933384824087
V+M,residuals,mlp_sensitivity,10,0.2570207028159529,0.10873774175232571,0.6292442497261774,0.18144579303231834,0.14212570524643037
V+M,shuffled_labels,l2_logistic_regression,10,0.17029762504421542,0.04707037049266092,0.5202325743981729,0.07798866291280936,0.12025934094140871
V+M+D,delta_time_only,l2_logistic_regression,10,0.19557331000632777,5.075081336214408e-06,0.6495444058632984,2.2513849201367967e-05,0.11872581727787088
V+M+D,matched_gaussian_noise,l2_logistic_regression,10,0.15943398964606567,0.016282701384520253,0.5265829274544989,0.03954988705144357,0.11941820114649815
V+M+D,missingness_only,l2_logistic_regression,10,0.25064144892816587,0.00022106749502733778,0.6898790519913309,6.03710291151965e-05,0.1166338220946231
V+M+D,permuted_residual_vectors,l2_logistic_regression,10,0.14712558912985915,0.019295967056731502,0.5011512199669083,0.03588758720234473,0.11978674891375056
V+M+D,raw_value_only,l2_logistic_regression,10,0.41737129844707754,0.0,0.7961594929039174,0.0,0.10110056452060694
V+M+D,residuals,l2_logistic_regression,10,0.35317821748702427,0.02655794990672951,0.7907249889305772,0.016310624313809537,0.10566070037808531
V+M+D,residuals,mlp_sensitivity,10,0.31816006014735587,0.08180899664770977,0.7405280697257114,0.10555294825984679,0.11481766572091026
V+M+D,shuffled_labels,l2_logistic_regression,10,0.16256324001675687,0.02850477068303296,0.49777446342429676,0.057575043007968583,0.12011844358729214
