reference,comparator,metric,pairs,median_difference_reference_minus_comparator,rank_biserial,wilcoxon_statistic,p_value,p_value_holm
ConceptFAN-NoAlpha,PureNoFuzzy,AUPRC,30,0.00814594920637915,0.5526881720430108,104.0,0.007111456245183945,0.07111456245183945
ConceptFAN-NoAlpha,PureNoFuzzy,AUROC,30,0.000687469413437114,0.13118279569892474,202.0,0.5425279382616282,1.0
ConceptFAN-NoAlpha,PureNoFuzzy,Brier,30,-0.002904663000667454,-0.6860215053763441,73.0,0.0006084088236093521,0.007300905883312225
ConceptFAN-NoAlpha,PureNoFuzzy,NLL,30,-0.007962471733415799,-0.6602150537634408,79.0,0.001038169488310814,0.011419864371418953
ConceptFAN-NoAlpha,PlainTransformer,AUPRC,30,-0.09634284331577514,-1.0,0.0,1.862645149230957e-09,2.9802322387695312e-08
ConceptFAN-NoAlpha,PlainTransformer,AUROC,30,-0.039750879727808774,-1.0,0.0,1.862645149230957e-09,2.9802322387695312e-08
ConceptFAN-NoAlpha,PlainTransformer,Brier,30,-0.03696157356972291,-0.9827956989247312,4.0,1.30385160446167e-08,1.825392246246338e-07
ConceptFAN-NoAlpha,PlainTransformer,NLL,30,-0.06968135875978243,-0.9268817204301075,17.0,3.855675458908081e-07,5.012378096580505e-06
ConceptFAN-NoAlpha,ConceptFAN-StabilityReg,AUPRC,30,-0.004433689440664246,-0.4924731182795699,118.0,0.017453668639063835,0.13962934911251068
ConceptFAN-NoAlpha,ConceptFAN-StabilityReg,AUROC,30,-0.0020740602642679296,-0.38064516129032255,144.0,0.06989291124045849,0.41935746744275093
ConceptFAN-NoAlpha,ConceptFAN-StabilityReg,Brier,30,0.0004530278706699198,0.5440860215053763,106.0,0.008142979815602303,0.07328681834042072
ConceptFAN-NoAlpha,ConceptFAN-StabilityReg,NLL,30,0.0013548271215505503,0.45806451612903226,126.0,0.027741437777876854,0.19419006444513798
ConceptFAN-NoAlpha,TemporalCEM,AUPRC,30,-0.012365823714880014,0.14408602150537633,199.0,0.5027610473334789,1.0
ConceptFAN-NoAlpha,TemporalCEM,AUROC,30,0.005563841439257977,0.06236559139784946,218.0,0.7765688337385654,1.0
ConceptFAN-NoAlpha,TemporalCEM,Brier,30,0.0016517522184595276,0.2731182795698925,169.0,0.19807579927146435,0.9903789963573217
ConceptFAN-NoAlpha,TemporalCEM,NLL,30,0.004310039426298901,0.2129032258064516,183.0,0.31839608028531075,1.0
