model_arm,scenario,level,runs,AUPRC_mean,AUPRC_std,AUPRC_degradation_mean,AUROC_mean,AUROC_degradation_mean,concept_MAE_mean,contribution_spearman_mean,top1_agreement_mean,sign_agreement_mean
ConceptFAN-NoAlpha,block_missing,6.0,30,0.3478303886797297,0.03926176289386848,-0.0003820534810922797,0.7692382683538797,0.00044277691034932585,0.34558612704277036,0.9967666666666665,0.986111111111111,1.0
ConceptFAN-NoAlpha,block_missing,12.0,30,0.35038856480816954,0.03948494740971265,-0.002940229609532095,0.76866149316803,0.0010195520961990908,0.3453669100999832,0.9933444444444443,0.9738888888888889,1.0
ConceptFAN-NoAlpha,clean,0.0,30,0.3474483351986375,0.039002255238984755,0.0,0.769681045264229,0.0,,1.0,1.0,1.0
ConceptFAN-NoAlpha,gaussian_noise,0.05,30,0.3473837462481708,0.038998123155468654,6.458895046665784e-05,0.7696429819859709,3.8063278258101034e-05,0.3458581517140071,0.9997499999999998,0.9985555555555555,1.0
ConceptFAN-NoAlpha,gaussian_noise,0.1,30,0.34756789274484773,0.03924088197939613,-0.00011955754621024347,0.769560641016678,0.00012040424755113132,0.3458704203367233,0.999522222222222,0.9964999999999999,1.0
ConceptFAN-NoAlpha,gaussian_noise,0.2,30,0.3475653919814516,0.0388561251045758,-0.0001170567828141659,0.7696876480778044,-6.602813575366332e-06,0.34584543903668724,0.9990833333333331,0.9946666666666667,1.0
ConceptFAN-NoAlpha,mcar,0.1,30,0.3469479885163866,0.038719087493456275,0.0005003466822508851,0.7686824668111517,0.0009985784530773035,0.34552859564622246,0.9951277777777776,0.9785,1.0
ConceptFAN-NoAlpha,mcar,0.2,30,0.3454054882966085,0.03750019731341834,0.0020428469020290054,0.7669280604040922,0.0027529848601368758,0.3454354077577591,0.9919388888888887,0.9665,1.0
ConceptFAN-NoAlpha,mcar,0.3,30,0.3459805675405106,0.03499270396049264,0.0014677676581268894,0.764632223283851,0.005048821980377967,0.34503187040487926,0.9882111111111109,0.9543333333333333,1.0
ConceptFAN-NoAlpha,outliers,0.01,30,0.348317989049618,0.03903012529613172,-0.0008696538509805932,0.7690689256057112,0.0006121196585179955,0.3458757549524307,0.998111111111111,0.9906666666666666,1.0
ConceptFAN-NoAlpha,outliers,0.05,30,0.35015182139199014,0.04052067653311631,-0.0027034861933526557,0.768762865776452,0.000918179487777023,0.3457234551509221,0.9950166666666664,0.9782777777777778,1.0
ConceptFAN-NoAlpha,sensor_bias,-0.25,30,0.3475754283069215,0.0394867117336663,-0.00012709310828405243,0.7695583106118866,0.00012273465234244885,0.3454681475957235,0.9987777777777775,0.992388888888889,1.0
ConceptFAN-NoAlpha,sensor_bias,0.25,30,0.348091304935412,0.03901780674686067,-0.0006429697367745586,0.7698158203413267,-0.00013477507709755236,0.34633066654205324,0.9985388888888888,0.9899444444444445,1.0
PureNoFuzzy,block_missing,6.0,30,0.3308064373651851,0.055784214637902,-0.00012040474849871382,0.7588225241391096,-2.8741659092856865e-05,0.3588170389334361,0.9980333333333331,0.9877222222222223,1.0
PureNoFuzzy,block_missing,12.0,30,0.3331457450194533,0.055519516861321845,-0.002459712402766897,0.7588939898860433,-0.0001002074060264498,0.35855383475621544,0.996122222222222,0.9786666666666667,1.0
PureNoFuzzy,clean,0.0,30,0.33068603261668644,0.05607424294793701,0.0,0.7587937824800168,0.0,,1.0,1.0,1.0
PureNoFuzzy,gaussian_noise,0.05,30,0.3306616932160147,0.0560539213269062,2.4339400671764357e-05,0.7587755276424848,1.8254837531920622e-05,0.35921163856983185,0.9998444444444442,0.9994999999999999,1.0
PureNoFuzzy,gaussian_noise,0.1,30,0.33081202827147976,0.05632918134709033,-0.0001259956547933187,0.7587864028648443,7.379615172472173e-06,0.35920139054457345,0.9996388888888887,0.9980555555555556,1.0
PureNoFuzzy,gaussian_noise,0.2,30,0.3308891447554701,0.055821935960432445,-0.0002031121387836954,0.7588609758181663,-6.719333814950343e-05,0.35919885436693827,0.9993833333333331,0.9964444444444445,1.0
PureNoFuzzy,mcar,0.1,30,0.3313245296810164,0.055075644267279865,-0.0006384970643299292,0.7576860634025464,0.0011077190774704186,0.35877780119578045,0.9970333333333331,0.9823888888888889,1.0
PureNoFuzzy,mcar,0.2,30,0.330820648173643,0.05389055520306743,-0.0001346155569565364,0.7571885219796013,0.001605260500415547,0.3583920915921529,0.9947499999999998,0.9694444444444444,1.0
PureNoFuzzy,mcar,0.3,30,0.3319017651891851,0.05108359970756186,-0.0012157325724986927,0.755598409110329,0.00319537336968763,0.35780758460362755,0.9927166666666665,0.9572777777777778,1.0
PureNoFuzzy,outliers,0.01,30,0.33095338221639886,0.05545498940746281,-0.00026734959971243255,0.7584558737852765,0.0003379086947402632,0.35926410655180613,0.9987777777777775,0.9931666666666668,1.0
PureNoFuzzy,outliers,0.05,30,0.333650024671572,0.054438438467855635,-0.0029639920548855826,0.7589988581016522,-0.00020507562163547545,0.35904126465320585,0.9968888888888887,0.981,1.0
PureNoFuzzy,sensor_bias,-0.25,30,0.3312571550655779,0.0561625753583958,-0.00057112244889146,0.7588982622948273,-0.00010447981481049861,0.3586742679278056,0.9989777777777776,0.9932777777777777,1.0
PureNoFuzzy,sensor_bias,0.25,30,0.33063374999291184,0.05575854510632786,5.228262377460306e-05,0.7587265891418673,6.719333814948121e-05,0.3598329285780589,0.9988666666666665,0.9929444444444445,1.0
